Protein identifier	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
1152353006|WP_078225401.1|1|1|blaOXA-942|blaOXA-213_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-942	blaOXA-942	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-942	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	273	273	100.00	100.00	273	WP_078225401.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-942	NF000269.2	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
1173316612|WP_081174195.1|1|1|blaOXA-980|blaOXA-213_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-980	blaOXA-980	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-980	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	273	273	100.00	100.00	273	WP_081174195.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-980	NF000269.2	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
1173870975|WP_081398973.1|1|1|blaOXA-290|blaOXA|hydrolase|2|||class_D_beta-lactamase_OXA-290	blaOXA-290	class D beta-lactamase OXA-290	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	279	279	100.00	100.00	279	WP_081398973.1	class D beta-lactamase OXA-290	NF012161.0	class D beta-lactamase
1173925414|WP_081400730.1|1|1|blaOXA-289|blaOXA|hydrolase|2|||class_D_beta-lactamase_OXA-289	blaOXA-289	class D beta-lactamase OXA-289	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	279	279	100.00	100.00	279	WP_081400730.1	class D beta-lactamase OXA-289	NF012161.0	class D beta-lactamase
1173964538|WP_081401608.1|1|1|blaOXA-671|blaOXA-286_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-286_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-671	blaOXA-671	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase OXA-671	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	280	280	100.00	100.00	280	WP_081401608.1	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase OXA-671	NF000520.2	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
1174040756|WP_081406929.1|1|1|blaOXA-674|blaOXA-286_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-286_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-674	blaOXA-674	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase OXA-674	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	280	280	100.00	100.00	280	WP_081406929.1	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase OXA-674	NF000520.2	OXA-286 family carbapenem-hydrolyzing class D beta-lactamase
1188444882|WP_085562384.1|1|1|blaOXA-517|blaOXA-48_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-48_family_class_D_beta-lactamase_OXA-517	blaOXA-517	OXA-48 family class D beta-lactamase OXA-517	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	263	263	100.00	100.00	263	WP_085562384.1	OXA-48 family class D beta-lactamase OXA-517	NF000387.2	OXA-48 family class D beta-lactamase
1188444900|WP_085562402.1|1|1|blaOXA-545|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-545	blaOXA-545	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-545	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	274	274	100.00	100.00	274	WP_085562402.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-545	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1188444901|WP_085562403.1|1|1|blaOXA-547|blaOXA-48_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-48_family_class_D_beta-lactamase_OXA-547	blaOXA-547	OXA-48 family class D beta-lactamase OXA-547	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	265	265	100.00	100.00	265	WP_085562403.1	OXA-48 family class D beta-lactamase OXA-547	NF000387.2	OXA-48 family class D beta-lactamase
1188444906|WP_085562408.1|1|1|blaOXA-554|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-554	blaOXA-554	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-554	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_085562408.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-554	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1188444907|WP_085562409.1|1|1|blaOXA-555|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-555	blaOXA-555	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-555	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_085562409.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-555	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1188444908|WP_085562410.1|1|1|blaOXA-556|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-556	blaOXA-556	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-556	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_085562410.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-556	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1188444909|WP_085562411.1|1|1|blaOXA-557|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-557	blaOXA-557	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-557	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_085562411.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-557	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1188444910|WP_085562412.1|1|1|blaOXA-558|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-558	blaOXA-558	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-558	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_085562412.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-558	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1188444911|WP_085562413.1|1|1|blaOXA-559|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-559	blaOXA-559	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-559	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_085562413.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-559	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1188444912|WP_085562414.1|1|1|blaOXA-560|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-560	blaOXA-560	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-560	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_085562414.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-560	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1188444913|WP_085562415.1|1|1|blaOXA-561|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-561	blaOXA-561	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_085562415.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-561	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1188444914|WP_085562416.1|1|1|blaOXA-562|blaOXA-51_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-562	blaOXA-562	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-562	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	274	274	100.00	100.00	274	WP_085562416.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-562	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1188444915|WP_085562417.1|1|1|blaOXA-563|blaOXA-213_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-563	blaOXA-563	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-563	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_085562417.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-563	NF000269.2	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
1188444916|WP_085562418.1|1|1|blaOXA-564|blaOXA-213_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-564	blaOXA-564	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-564	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_085562418.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-564	NF000269.2	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
1188444919|WP_085562421.1|1|1|blaOXA-565|blaOXA-23_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-23_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-565	blaOXA-565	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-565	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	273	273	100.00	100.00	273	WP_085562421.1	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase OXA-565	NF000266.2	OXA-23 family carbapenem-hydrolyzing class D beta-lactamase
1196803955|WP_086261538.1|1|1|blaOXA-939|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-939	blaOXA-939	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-939	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	274	274	100.00	100.00	274	WP_086261538.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-939	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1196806141|WP_086263559.1|1|1|blaOXA-938|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-938	blaOXA-938	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-938	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	274	274	100.00	100.00	274	WP_086263559.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-938	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1196807648|WP_086264536.1|1|1|blaOXA-832|blaOXA-213_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-832	blaOXA-832	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-832	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	273	273	100.00	100.00	273	WP_086264536.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-832	NF000269.2	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
1196973240|WP_086395021.1|1|1|blaOXA-941|blaOXA-213_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-941	blaOXA-941	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-941	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	273	273	100.00	100.00	273	WP_086395021.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-941	NF000269.2	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
1196978227|WP_086398931.1|1|1|blaOXA-943|blaOXA-213_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-943	blaOXA-943	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-943	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	273	273	100.00	100.00	273	WP_086398931.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-943	NF000269.2	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
1197042013|WP_086442870.1|1|1|blaOXA-940|blaOXA-51_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-51_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-940	blaOXA-940	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-940	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	274	274	100.00	100.00	274	WP_086442870.1	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase OXA-940	NF000268.2	OXA-51 family carbapenem-hydrolyzing class D beta-lactamase
1198978857|WP_087088911.1|1|1|blaOXA-842|blaOXA-213_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-213_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-842	blaOXA-842	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-842	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	273	273	100.00	100.00	273	WP_087088911.1	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase OXA-842	NF000269.2	OXA-213 family carbapenem-hydrolyzing class D beta-lactamase
1200117310|WP_087554513.1|1|1|blaOXA-653|blaOXA-24_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-24_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-653	blaOXA-653	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-653	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	275	275	100.00	100.00	275	WP_087554513.1	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase OXA-653	NF000434.2	OXA-24 family carbapenem-hydrolyzing class D beta-lactamase
1201190419|WP_087587939.1|1|1|blaOXA-548|blaOXA-548_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-548	blaOXA-548	class D beta-lactamase OXA-548	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	290	290	100.00	100.00	290	WP_087587939.1	class D beta-lactamase OXA-548	NF040530.1	OXA-548 family class D beta-lactamase
1201190420|WP_087587940.1|1|1|blaOXA-549|blaOXA-548_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-548_family_class_D_beta-lactamase_OXA-549	blaOXA-549	OXA-548 family class D beta-lactamase OXA-549	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	290	290	100.00	100.00	290	WP_087587940.1	OXA-548 family class D beta-lactamase OXA-549	NF040530.1	OXA-548 family class D beta-lactamase
1201190421|WP_087587941.1|1|1|blaOXA-550|blaOXA-548_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-548_family_class_D_beta-lactamase_OXA-550	blaOXA-550	OXA-548 family class D beta-lactamase OXA-550	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	290	290	100.00	100.00	290	WP_087587941.1	OXA-548 family class D beta-lactamase OXA-550	NF040530.1	OXA-548 family class D beta-lactamase
1201190422|WP_087587942.1|1|1|blaOXA-551|blaOXA-548_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-548_family_class_D_beta-lactamase_OXA-551	blaOXA-551	OXA-548 family class D beta-lactamase OXA-551	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	295	295	100.00	100.00	295	WP_087587942.1	OXA-548 family class D beta-lactamase OXA-551	NF040530.1	OXA-548 family class D beta-lactamase
1201190423|WP_087587943.1|1|1|blaOXA-552|blaOXA-548_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-548_family_class_D_beta-lactamase_OXA-552	blaOXA-552	OXA-548 family class D beta-lactamase OXA-552	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	290	290	100.00	100.00	290	WP_087587943.1	OXA-548 family class D beta-lactamase OXA-552	NF040530.1	OXA-548 family class D beta-lactamase
1201190424|WP_087587944.1|1|1|blaOXA-553|blaOXA-548_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-548_family_class_D_beta-lactamase_OXA-553	blaOXA-553	OXA-548 family class D beta-lactamase OXA-553	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	295	295	100.00	100.00	295	WP_087587944.1	OXA-548 family class D beta-lactamase OXA-553	NF040530.1	OXA-548 family class D beta-lactamase
1201190425|WP_087587945.1|1|1|blaOXA-546|blaOXA-48_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-48_family_class_D_beta-lactamase_OXA-546	blaOXA-546	OXA-48 family class D beta-lactamase OXA-546	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	265	265	100.00	100.00	265	WP_087587945.1	OXA-48 family class D beta-lactamase OXA-546	NF000387.2	OXA-48 family class D beta-lactamase
1204949512|WP_087696200.1|1|1|blaOXA-576|blaOXA-576_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-576	blaOXA-576	class D beta-lactamase OXA-576	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	248	248	100.00	100.00	248	WP_087696200.1	class D beta-lactamase OXA-576	NF033613.1	OXA-576 family class D beta-lactamase
1209253190|WP_088303859.1|1|1|blaOXA-624|blaOXA-184_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-184_family_class_D_beta-lactamase_OXA-624	blaOXA-624	OXA-184 family class D beta-lactamase OXA-624	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	257	257	100.00	100.00	257	WP_088303859.1	OXA-184 family class D beta-lactamase OXA-624	NF000461.2	OXA-184 family class D beta-lactamase
1215553953|WP_089067012.1|1|1|blaOXA-535|blaOXA-48_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-48_family_class_D_beta-lactamase_OXA-535	blaOXA-535	OXA-48 family class D beta-lactamase OXA-535	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	265	265	100.00	100.00	265	WP_089067012.1	OXA-48 family class D beta-lactamase OXA-535	NF000387.2	OXA-48 family class D beta-lactamase
1224670996|WP_092689909.1|1|1|blaOXA-666|blaOXA|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-666	blaOXA-666	class D beta-lactamase OXA-666	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	284	284	100.00	100.00	284	WP_092689909.1	class D beta-lactamase OXA-666	NF012161.0	class D beta-lactamase
1226997326|WP_094009803.1|1|1|blaOXA-514|blaOXA-48_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-48_family_class_D_beta-lactamase_OXA-514	blaOXA-514	OXA-48 family class D beta-lactamase OXA-514	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	265	265	100.00	100.00	265	WP_094009803.1	OXA-48 family class D beta-lactamase OXA-514	NF000387.2	OXA-48 family class D beta-lactamase
1226997327|WP_094009804.1|1|1|blaOXA-515|blaOXA-48_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-48_family_class_D_beta-lactamase_OXA-515	blaOXA-515	OXA-48 family class D beta-lactamase OXA-515	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	265	265	100.00	100.00	265	WP_094009804.1	OXA-48 family class D beta-lactamase OXA-515	NF000387.2	OXA-48 family class D beta-lactamase
1226997331|WP_094009808.1|1|1|blaOXA-519|blaOXA-48_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-48_family_class_D_beta-lactamase_OXA-519	blaOXA-519	OXA-48 family class D beta-lactamase OXA-519	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	265	265	100.00	100.00	265	WP_094009808.1	OXA-48 family class D beta-lactamase OXA-519	NF000387.2	OXA-48 family class D beta-lactamase
1226997334|WP_094009811.1|1|1|blaOXA-566|blaOXA-48_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-48_family_class_D_beta-lactamase_OXA-566	blaOXA-566	OXA-48 family class D beta-lactamase OXA-566	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	265	265	100.00	100.00	265	WP_094009811.1	OXA-48 family class D beta-lactamase OXA-566	NF000387.2	OXA-48 family class D beta-lactamase
1236055153|WP_094865115.1|1|1|blaOXA-198|blaOXA-198_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-198	blaOXA-198	carbapenem-hydrolyzing class D beta-lactamase OXA-198	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	258	258	100.00	100.00	258	WP_094865115.1	carbapenem-hydrolyzing class D beta-lactamase OXA-198	NF040806.1	OXA-198 family carbapenem-hydrolyzing class D beta-lactamase
1248237514|WP_096735335.1|1|1|blaOXA-667|blaOXA-274_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-274_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-667	blaOXA-667	OXA-274 family carbapenem-hydrolyzing class D beta-lactamase OXA-667	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	281	281	100.00	100.00	281	WP_096735335.1	OXA-274 family carbapenem-hydrolyzing class D beta-lactamase OXA-667	NF033648.1	OXA-274 family carbapenem-hydrolyzing class D beta-lactamase
1252412297|WP_096807440.1|1|1|blaOXA-427|blaOXA-427_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-427	blaOXA-427	carbapenem-hydrolyzing class D beta-lactamase OXA-427	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	264	264	100.00	100.00	264	WP_096807440.1	carbapenem-hydrolyzing class D beta-lactamase OXA-427	NF038217.1	OXA-427 family carbapenem-hydrolyzing class D beta-lactamase
1270501124|WP_099156044.1|1|1|blaOXA-368|blaOXA-10_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-10_family_class_D_beta-lactamase_OXA-368	blaOXA-368	OXA-10 family class D beta-lactamase OXA-368	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	266	266	100.00	100.00	266	WP_099156044.1	OXA-10 family class D beta-lactamase OXA-368	NF000386.2	OXA-10 family class D beta-lactamase
1270501761|WP_099156052.1|1|1|blaOXA-567|blaOXA-48_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-48_family_class_D_beta-lactamase_OXA-567	blaOXA-567	OXA-48 family class D beta-lactamase OXA-567	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	264	264	100.00	100.00	264	WP_099156052.1	OXA-48 family class D beta-lactamase OXA-567	NF000387.2	OXA-48 family class D beta-lactamase
1271558630|WP_099337823.1|1|1|blaOXA-568|blaOXA|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-568	blaOXA-568	class D beta-lactamase OXA-568	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	276	276	100.00	100.00	276	WP_099337823.1	class D beta-lactamase OXA-568	NF012161.0	class D beta-lactamase
1285191390|WP_100507493.1|1|1|blaOXA-925|blaOXA-PR|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_D_beta-lactamase_OXA-925	blaOXA-925	class D beta-lactamase OXA-925	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	274	274	100.00	100.00	274	WP_100507493.1	class D beta-lactamase OXA-925	NF000270.1	class D beta-lactamase
1301698672|WP_100886243.1|1|1|blaOXA-895|blaOXA-229_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-229_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-895	blaOXA-895	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase OXA-895	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	276	276	100.00	100.00	276	WP_100886243.1	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase OXA-895	NF000501.2	OXA-229 family carbapenem-hydrolyzing class D beta-lactamase
1311480306|WP_101150415.1|1|1|blaOXA-726|blaOXA-12_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-12_family_class_D_beta-lactamase_OXA-726	blaOXA-726	OXA-12 family class D beta-lactamase OXA-726	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	264	264	100.00	100.00	264	WP_101150415.1	OXA-12 family class D beta-lactamase OXA-726	NF033702.0	OXA-12 family class D beta-lactamase
1331531451|WP_102607461.1|1|1|blaOXA-569|blaOXA-22_fam|hydrolase|2|BETA-LACTAM|BETA-LACTAM|OXA-22_family_class_D_beta-lactamase_OXA-569	blaOXA-569	OXA-22 family class D beta-lactamase OXA-569	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	279	279	100.00	100.00	279	WP_102607461.1	OXA-22 family class D beta-lactamase OXA-569	NF033509.1	OXA-22 family class D beta-lactamase
1331531452|WP_102607462.1|1|1|blaOXA-570|blaOXA-60_fam|hydrolase|2|CARBAPENEM|BETA-LACTAM|OXA-60_family_carbapenem-hydrolyzing_class_D_beta-lactamase_OXA-570	blaOXA-570	OXA-60 family carbapenem-hydrolyzing class D beta-lactamase OXA-570	core	AMR	AMR	BETA-LACTAM	CARBAPENEM	ALLELEP	271	271	100.00	100.00	271	WP_102607462.1	OXA-60 family carbapenem-hydrolyzing class D beta-lactamase OXA-570	NF000395.3	OXA-60 family carbapenem-hydrolyzing class D beta-lactamase
